Week,Cases,Tests,Temple_Positivity,Philadelphia_Positivity
X4.25.21,1,534,0.19%,2.29%
X4.18.21,7,1477,0.47%,3.42%
X4.11.21,21,2883,0.73%,5.05%
X4.4.21,30,5201,0.58%,6.12%
X3.28.21,59,6345,0.93%,6.61%
X3.21.21,54,6805,0.79%,6.59%
X3.14.21,99,7633,1.30%,9.18%
X3.7.21,75,7322,1.02%,7.10%
X2.28.21,99,8056,1.23%,6.31%
X2.21.21,102,8789,1.16%,5.44%
X2.14.21,57,7685,0.74%,3.94%
X2.7.21,52,8428,0.62%,3.58%
X1.31.21,36,5422,0.66%,3.99%
X1.24.21,62,9278,0.67%,4.39%
X1.17.21,75,6002,1.25%,5.35%
X1.10.21,91,10506,0.87%,5.15%
X1.3.21,78,10447,0.75%,5.55%
X12.27.20,37,1977,1.87%,6.28%
NA.,39,1264,3.09%,8.73%
NA..1,2,112,1.79%,6.53%
